What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Engineering,UK,USA,Australia,01-09-21,No,,Working professional,4 - 6 years of work exp,1990,Yes,No,,Not provided,Bank loan,In-Service,No,,,Yes,,0
Vocational,,,Engineering,Australia,Canada,,01-01-21,No,,Working professional,4 - 6 years of work exp,1996,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,Not provided,Self funding,,No,,,No,,0
Postgraduate,,,Other,Canada,USA,,01-01-21,Yes,No,Student,,1995,Yes,No,,Not provided,Not provided,In-Service,Yes,Other,135,Yes,NONE,0
Postgraduate,,,AI,Canada,Ireland,,01-09-21,No,,Working professional,4 - 6 years of work exp,1994,Yes,Yes,> 10,Not provided,Self funding,Own business,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,2001,No,No,,10 - 20 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Land & Environment,Canada,Canada,Canada,01-01-21,Yes,No,Working professional,< 1 year of work exp,1995,Yes,Yes,< 5 ,10 - 20 lakhs,Bank loan,Own business,Yes,IELTS,6,Yes,,0
Undergraduate,,,Engineering,Canada,,,01.09.2022,No,,Working professional,7+ years of work exp,1982,No,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Engineering,Canada,,,01-01-21,Yes,No,Student,,2000,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,UK,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,No,,30 lakhs and over,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Other,Canada,UK,,01.01.2022,Yes,No,Working professional,< 1 year of work exp,1998,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,Yes,IELTS,6.7,Yes,Yes,0
Postgraduate,,,Mass communication,Ireland,Canada,,01-01-22,No,,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,USA,USA,USA,01-01-21,No,,Working professional,1 - 3 years of work exp,1992,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Finance,USA,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Self funding,,No,,,Yes,,0
Vocational,,,Education,UK,Canada,,01.01.2022,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Psychology,USA,,USA,01-09-22,Yes,No,Student,,1997,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,cyber security,UK,Canada,,01-01-21,Yes,Yes,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,,No,,,No,,0
Postgraduate,,,Business & Economics,New Zealand,Canada,Australia,01-01-22,No,,Student,,1997,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,hospitality,Australia,UK,New Zealand,01-09-21,No,,Working professional,4 - 6 years of work exp,1997,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Supply chain,Canada,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,management ,Australia,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,,No,,,No,,0
Undergraduate,,,Other,Canada,,,01.09.2022,No,,Student,,2003,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,Canada,Canada,01-09-21,No,,Student,,2004,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Biotech,Canada,UK,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,Yes,TOEFL,110,No,,0
Undergraduate,,,Nursing,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Sciences,UK,Australia,,01-01-21,No,,Student,,2002,No,No,,Not provided,Not provided,In-Service,No,,,No,none,0
Postgraduate,,,project management ,Canada,,,01-09-21,Yes,Yes,Working professional,7+ years of work exp,1988,Yes,Yes,> 10,10 - 20 lakhs,Self funding,,Yes,IELTS,6,No,,0
Postgraduate,,,Engineering,UK,,,01.09.2023,No,,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Solar Energy ,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1987,Yes,No,,10 lakhs or under,Self funding,,No,,,No,,0
Undergraduate,,,Commerce,UK,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1996,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-09-22,No,,Student,,1997,Yes,Yes,06-Oct,30 lakhs and over,Combined self /parent funding and bank loan,In-Service,No,,,No,none,0
Undergraduate,,,Business & Economics,UK,UK,UK,01-01-21,No,,Student,,2003,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Engineering,Canada,Australia,USA,01-01-21,No,,Working professional,4 - 6 years of work exp,1994,Yes,Yes,< 5 ,Not provided,Parents asset,,Yes,IELTS,7.5,Yes,,0
Postgraduate,,,Engineering,Australia,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Self funding,Not provided,No,,,Yes,,0
Undergraduate,,,Engineering,New Zealand,Ireland,,01-09-21,No,,Student,,2003,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Engineering,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,Yes,< 5 ,Not provided,Parents asset,,No,,,Yes,,1
Postgraduate,,,AI,Canada,USA,,01-01-21,No,,Student,,1998,No,Yes,> 10,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Undergraduate,,,management ,Canada,,,01-09-22,No,,Student,,2002,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Undergraduate,,,Engineering,UK,USA,Australia,01-09-21,No,,Student,,1998,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Other,UK,Ireland,,02-01-00,No,,Working professional,4 - 6 years of work exp,1989,Yes,Yes,< 5 ,Not provided,Not provided,,Yes,IELTS,7.5,Yes,Fateh,0
Undergraduate,,,Pharmacy,Canada,UK,New Zealand,01-01-21,No,,Working professional,4 - 6 years of work exp,1990,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,Yes,< 5 ,Not provided,Parents asset,,Yes,GRE,318,Yes,,1
Postgraduate,,,MCA,Canada,USA,,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Zoology,UK,,,01-09-21,No,,Student,,1999,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Undergraduate,,,Arts,UK,Canada,,01-09-21,No,,Student,,2003,No,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Undergraduate,,,Business & Economics,Canada,Australia,Canada,01-01-21,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Australia,New Zealand,01.01.2022,Yes,No,Working professional,1 - 3 years of work exp,1997,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,1
Undergraduate,,,Business & Economics,New Zealand,UK,Australia,01-05-21,No,,Student,,1990,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Engineering,UK,Canada,,01-09-22,No,,Student,,1996,No,No,,10 lakhs or under,Self funding,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Humanities & Social Sciences,UK,Canada,Australia,01-09-21,No,,Student,,1997,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Vocational,,,Management ,Australia,,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-09-21,No,,Student,,1998,Yes,No,,20 - 30 lakhs,Parents asset,,No,,,Yes,,0
Undergraduate,,,Engineering,USA,,,01-09-21,No,,Student,,2002,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,Ireland,USA,New Zealand,01-09-21,No,,Student,,2000,No,Yes,06-Oct,Not provided,Parents asset,In-Service,No,,,No,None,0
Undergraduate,,,Business & Economics,USA,UK,,01-09-21,Yes,No,Student,,2004,Yes,No,,30 lakhs and over,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Not Decided yet,USA,Canada,Australia,01-09-22,No,,Student,,2001,Yes,No,,Not provided,Bank loan,Own business,No,,,No,None,0
Undergraduate,,,Engineering,Australia,UK,Canada,01-01-21,No,,Student,,2002,No,No,,Not provided,Other,In-Service,No,,,No,None,0
Postgraduate,,,Business Management ,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1987,Yes,No,,10 lakhs or under,Self funding,,No,,,Yes,,0
Vocational,,,Psychology,New Zealand,,,01.01.2022,No,,Working professional,4 - 6 years of work exp,1986,Yes,No,,Not provided,Not provided,In-Service,No,,,No,none,0
Postgraduate,,,business management ,Australia,,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Other,Australia,,,01-01-21,No,,Working professional,7+ years of work exp,1983,Yes,No,,Not provided,Not provided,Not provided,Yes,IELTS,7,Yes,none,0
Postgraduate,,,Business & Economics,Australia,UK,Canada,01-09-21,No,,Student,,1998,Yes,No,,30 lakhs and over,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,Medicala coding,Australia,Canada,Canada,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,UK,,01-09-21,No,,Student,,1999,No,No,,Not provided,Not provided,Own business,No,,,No,NONE,0
Undergraduate,,,Nursing,Australia,,,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,,Yes,IELTS,5.5,Yes,,0
Undergraduate,,,Nursing,Australia,,,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Parents asset,,Yes,Other,63,Yes,,0
Postgraduate,,,Sciences,Canada,Australia,USA,01-01-21,No,,Student,,2000,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Media & Communications,Canada,,,01-01-21,Yes,Yes,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Management ,Australia,,,01.09.2022,No,,Student,,1993,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Vocational,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,1993,Yes,No,,10 lakhs or under,Parents asset,,Yes,IELTS,6,Yes,,0
Postgraduate,,,Engineering,USA,Canada,UK,01-09-21,No,,Student,,1994,Yes,Yes,> 10,Not provided,Bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Business Management in Finance,UK,,,26-06-05,No,,Student,,1998,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Undergraduate,,,Business Management,USA,,,01-09-21,Yes,No,Student,,2003,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,USA,USA,USA,01-01-21,No,,Student,,2002,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Sciences,USA,Canada,,01-09-21,No,,Student,,2002,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,Own business,No,,,No,none,0
Vocational,,,management ,New Zealand,,,01-09-21,Yes,No,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,No,,Not provided,Not provided,Own business,No,,,Yes,none,0
Undergraduate,,,Fashion Designing ,Australia,,,01-09-21,No,,Student,,1998,No,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Business & Economics,New Zealand,UK,Australia,01.09.2022,No,,Working professional,4 - 6 years of work exp,1992,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,1
Vocational,,,Finance,Australia,,,01-01-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Vocational,,,Psychology,Canada,UK,Australia,01-09-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,10 lakhs or under,Other,In-Service,No,,,No,,0
Postgraduate,,,Physiotherapy,Australia,,,01-09-22,No,,Student,,1998,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Business Management In HR,Australia,,,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Undergraduate,,,Engineering,Canada,,,01-01-21,No,,Student,,2002,No,No,,Not provided,Not provided,In-Service,No,,,Yes,none,0
Postgraduate,,,Industrial Finance,Canada,Canada,Canada,01-09-21,Yes,No,Working professional,7+ years of work exp,1985,Yes,No,,10 lakhs or under,Parents asset,Not provided,No,,,No,,0
Undergraduate,,,Hotel Management,Australia,,,01-09-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Vocational,,,Hospitality Culinary Arts,Canada,,,01-01-21,Yes,No,Student,,2002,No,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Public Relation,USA,Canada,UK,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1998,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,,,01-09-21,No,,Student,,1998,Yes,Yes,< 5 ,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,,,01-01-21,No,,Student,,2000,Yes,No,,10 - 20 lakhs,Bank loan,,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,Canada,Ireland,01.01.2022,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,20 - 30 lakhs,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Management,UK,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 - 20 lakhs,Self funding,,No,,,Yes,,0
Undergraduate,,,Commerce ,UK,,,01-01-21,No,,Student,,1996,No,No,,10 lakhs or under,Bank loan,,No,,,Yes,,0
Postgraduate,,,Architecture & Built Environment Studies,USA,,,01-09-21,No,,Student,,1997,No,Yes,06-Oct,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Visual and Performing arts,Australia,,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Management,Canada,,,01-01-21,No,,Student,,1997,Yes,Yes,> 10,Not provided,Sponsorship by relatives,,No,,,Yes,,0
Postgraduate,,,Other,Australia,Ireland,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,30 lakhs and over,Combined self /parent funding and bank loan,In-Service,No,,,No,none,0
Postgraduate,,,Philosophy,Australia,Australia,Australia,01-09-21,No,,Working professional,7+ years of work exp,1970,No,Yes,< 5 ,Not provided,Other,Not provided,No,,,No,,0
Postgraduate,,,Sciences,UK,Canada,Canada,01.01.2022,No,,Working professional,1 - 3 years of work exp,1998,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Engineering,USA,USA,USA,01-09-21,No,,Student,,2005,No,No,,Not provided,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Management,Canada,,,01-01-22,Yes,No,Student,,2000,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Food science,USA,,UK,01.01.2022,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,UNIX Designing ,UK,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,Yes,< 5 ,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,MBA,UK,Australia,Canada,01-09-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Postgraduate,,,Finance,USA,,,01-09-21,No,,Student,,1996,Yes,No,,Not provided,Bank loan,,No,,,No,,0
Postgraduate,,,Theatre,USA,UK,,01-09-22,Yes,No,Student,,1999,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Undergraduate,,,Hotel Management,UK,USA,,01-09-21,No,,Student,,2000,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Hospitality,UK,Canada,,01-01-21,Yes,No,Working professional,< 1 year of work exp,1999,Yes,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Social Work,UK,,,01-09-21,No,,Working professional,7+ years of work exp,1984,Yes,No,,10 - 20 lakhs,Self funding,,No,,,No,,0
Postgraduate,,,Other,Canada,UK,,01-09-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Very Large Scale Integration,USA,UK,UK,01-09-21,No,,Student,,1999,Yes,No,,20 - 30 lakhs,Bank loan,Own business,No,,,No,None,1
Vocational,,,Hospitality,Australia,Canada,UK,01-09-21,No,,Student,,2001,Yes,No,,Not provided,Self funding,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Hotel Management,Australia,,,01-09-21,No,,Working professional,7+ years of work exp,1991,Yes,No,,10 - 20 lakhs,Self funding,,No,,,Yes,,0
Vocational,,,Engineering,Canada,,,01-01-21,No,,Student,,1997,Yes,Yes,06-Oct,Not provided,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Social Health,Canada,USA,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,No,,Student,,2001,Yes,No,,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Engineering,UK,Canada,Canada,01.01.2022,Yes,No,Working professional,1 - 3 years of work exp,1995,Yes,Yes,06-Oct,Not provided,Parents asset,Own business,No,,,Yes,sic consultants,1
Undergraduate,,,Business Management,UK,,,01-09-21,Yes,No,Student,,2003,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Undergraduate,,,Engineering,UK,,,01-01-21,No,,Student,,1997,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Medical,UK,New Zealand,Ireland,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 lakhs or under,Parents asset,Not provided,Yes,IELTS,7,Yes,,0
Postgraduate,,,MBA,Canada,USA,,01-09-21,No,,Student,,2001,No,No,,Not provided,Self funding,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,,,01-09-21,No,,Student,,2000,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,Yes,< 5 ,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Life sciences,Australia,UK,,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7,Yes,,0
Vocational,,,Visual and Performing arts,Canada,Canada,Canada,01-09-21,Yes,No,Student,,1996,No,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,,0
Vocational,,,nursing,Canada,,,01-09-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Bank loan,,Yes,IELTS,6.5,Yes,yes ,0
Postgraduate,,,Business & Economics,UK,Australia,Ireland,01-01-21,No,,Student,,1995,No,No,,10 - 20 lakhs,Bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-09-21,Yes,No,Student,,2000,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7,No,,0
Postgraduate,,,Business Management,UK,Canada,,01-01-21,No,,Student,,1997,Yes,No,,Not provided,Bank loan,,No,,,No,,0
Undergraduate,,,Computer Science and Information Technology,UK,UK,UK,01-09-21,No,,Student,,2004,No,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Biotech,Australia,Canada,USA,01-09-21,No,,Student,,1999,No,Yes,< 5 ,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
